status	key	command
Precomposition	ASCII	InsertCharacter
Precomposition	Ctrl Alt F11	Abort
Precomposition	Ctrl Shift Space	InsertFullSpace
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Shift Space	InsertAlternateSpace
Precomposition	Space	InsertSpace
Precomposition	Backspace	Revert
Composition	ASCII	InsertCharacter
Composition	Backspace	Backspace
Composition	Ctrl 0	ConvertToHalfAlphanumeric
Composition	Ctrl 2	ConvertWithoutHistory
Composition	Ctrl 6	ConvertToHiragana
Composition	Ctrl 7	ConvertToFullKatakana
Composition	Ctrl 8	ConvertToHalfWidth
Composition	Ctrl 9	ConvertToFullAlphanumeric
Composition	Ctrl a	MoveCursorToBeginning
Composition	Ctrl Alt F11	Abort
Composition	Ctrl Backspace	Backspace
Composition	Ctrl d	MoveCursorRight
Composition	Ctrl Down	MoveCursorToEnd
Composition	Ctrl e	MoveCursorToBeginning
Composition	Ctrl Eisu	ToggleAlphanumericMode
Composition	Ctrl Enter	Commit
Composition	Ctrl f	MoveCursorToEnd
Composition	Ctrl g	Delete
Composition	Ctrl h	Backspace
Composition	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Composition	Ctrl l	MoveCursorRight
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl m	Commit
Composition	Ctrl n	MoveCursorToEnd
Composition	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl Right	MoveCursorToEnd
Composition	Ctrl s	MoveCursorLeft
Composition	Ctrl Space	InsertHalfSpace
Composition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl t	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Composition	Ctrl Up	MoveCursorToBeginning
Composition	Ctrl x	MoveCursorToEnd
Composition	Ctrl z	Cancel
Composition	Delete	Delete
Composition	Down	MoveCursorToEnd
Composition	Eisu	ToggleAlphanumericMode
Composition	End	MoveCursorToEnd
Composition	Enter	Commit
Composition	ESC	Cancel
Composition	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Composition	Henkan	Convert
Composition	Home	MoveCursorToBeginning
Composition	Left	MoveCursorLeft
Composition	Muhenkan	SwitchKanaType
Composition	Right	MoveCursorRight
Composition	Shift Backspace	Backspace
Composition	Shift ESC	Cancel
Composition	Shift Left	MoveCursorLeft
Composition	Shift Right	MoveCursorRight
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Composition	Shift Space	Convert
Composition	Space	Convert
Composition	Tab	PredictAndConvert
Suggestion	Down	PredictAndConvert
Suggestion	Shift Enter	CommitFirstSuggestion
Conversion	Backspace	Cancel
Conversion	Ctrl 0	ConvertToHalfAlphanumeric
Conversion	Ctrl 6	ConvertToHiragana
Conversion	Ctrl 7	ConvertToFullKatakana
Conversion	Ctrl 8	ConvertToHalfWidth
Conversion	Ctrl 9	ConvertToFullAlphanumeric
Conversion	Ctrl a	SegmentFocusFirst
